School,Municipality,Board,School Level,Students,Staff,Total Cases,Status
Tosorontio Central Public School,Adjala-Tosorontio,Simcoe County DSB,Elementary,1,0,1,Active
Ajax High School,Ajax,Durham DSB,Secondary,1,0,1,Active
Bolton C Falby Public School,Ajax,Durham DSB,Elementary,4,0,4,Active
Cadarackque Public School,Ajax,Durham DSB,Elementary,2,1,3,Active
Carruthers Creek Public School,Ajax,Durham DSB,Elementary,0,1,1,Active
Da Vinci Public School,Ajax,Durham DSB,Elementary,3,1,4,Active
Duffin's Bay Public School,Ajax,Durham DSB,Elementary,7,1,8,Active
Eagle Ridge Public School,Ajax,Durham DSB,Elementary,1,0,1,Active
J Clarke Richardson Collegiate Institute,Ajax,Durham DSB,Secondary,3,0,3,Active
Lincoln Avenue Public School,Ajax,Durham DSB,Elementary,1,0,1,Active
Notre Dame Catholic High School,Ajax,Durham CDSB,Secondary,5,0,5,Active
Pickering High School,Ajax,Durham DSB,Secondary,1,0,1,Active
Romeo Dallaire Public School,Ajax,Durham DSB,Elementary,2,1,3,Active
Southwood Park Public School,Ajax,Durham DSB,Elementary,1,0,1,Active
St AndrÃ© Bessette Catholic School,Ajax,Durham CDSB,Elementary,1,1,2,Active
St Bernadette Catholic School,Ajax,Durham CDSB,Elementary,3,0,3,Active
St Catherine of Siena Catholic School,Ajax,Durham CDSB,Elementary,2,0,2,Active
St Francis de Sales Catholic School,Ajax,Durham CDSB,Elementary,0,1,1,Active
St James Catholic School,Ajax,Durham CDSB,Elementary,3,0,3,Active
St Josephine Bakhita Catholic Elementary School,Ajax,Durham CDSB,Elementary,14,1,15,Active
St Jude Catholic School,Ajax,Durham CDSB,Elementary,0,1,1,Active
St Teresa of Calcutta Catholic School,Ajax,Durham CDSB,Elementary,2,0,2,Active
Terry Fox Public School,Ajax,Durham DSB,Elementary,3,0,3,Active
Viola Desmond Public School,Ajax,Durham DSB,Elementary,1,0,1,Active
Grafton Public School,Alnwick/Haldimand,Kawartha Pine Ridge DSB,Elementary,1,0,1,Active
General Amherst High School,Amherstburg,Greater Essex County DSB,Secondary,2,0,2,Active
Maynard Public School,Augusta,Upper Canada DSB,Elementary,1,0,1,Active
Dr G W Williams Secondary School,Aurora,York Region DSB,Secondary,0,0,1,Active
Highview Public School,Aurora,York Region DSB,Elementary,0,0,1,Active
Holy Spirit Catholic Elementary School,Aurora,York CDSB,Elementary,0,0,2,Active
Light of Christ Catholic Elementary School,Aurora,York CDSB,Elementary,0,0,1,Active
Northern Lights Public School,Aurora,York Region DSB,Elementary,0,0,0,Active
Rick Hansen Public School,Aurora,York Region DSB,Elementary,0,0,1,Active
St Joseph Catholic Elementary School,Aurora,York CDSB,Elementary,0,0,1,Active
Wellington Public School,Aurora,York Region DSB,Elementary,0,0,1,Active
Ã‰cole secondaire catholique Renaissance,Aurora,CS catholique MonAvenir,Secondary,1,0,1,Active
Assumption Catholic Elementary School,Aylmer,London District Catholic School Board,Elementary,0,1,1,Active
Ferndale Woods Elementary School,Barrie,Simcoe County DSB,Elementary,1,0,1,Active
Hewitt's Creek Public School,Barrie,Simcoe County DSB,Elementary,2,0,2,Active
Innisdale Secondary School,Barrie,Simcoe County DSB,Secondary,1,0,1,Active
Oakley Park Public School,Barrie,Simcoe County DSB,Elementary,1,0,1,Active
Saint Gabriel the Archangel Catholic School,Barrie,Simcoe Muskoka CDSB,Elementary,1,0,1,Active
St Catherine of Siena Catholic School,Barrie,Simcoe Muskoka CDSB,Elementary,1,0,1,Active
Steele Street Public School,Barrie,Simcoe County DSB,Elementary,1,0,1,Active
Terry Fox Elementary School,Barrie,Simcoe County DSB,Elementary,2,0,2,Active
The Good Shepherd Catholic School,Barrie,Simcoe Muskoka CDSB,Elementary,1,3,4,Active
West Bayfield Elementary School,Barrie,Simcoe County DSB,Elementary,1,0,1,Active
Willow Landing Elementary School,Barrie,Simcoe County DSB,Elementary,0,1,1,Active
Ã‰IC Nouvelle-Alliance,Barrie,CS catholique MonAvenir,Elementary,1,0,1,Active
Ã‰cole Ã©lÃ©mentaire La Source,Barrie,CS Viamonde,Elementary,1,0,1,Active
Nicholson Catholic College,Belleville,Algonquin and Lakeshore CDSB,Secondary,1,0,1,Active
Prince of Wales Public School,Belleville,Hastings & Prince Edward DSB,Elementary,1,0,1,Active
Queen Victoria School,Belleville,Hastings & Prince Edward DSB,Elementary,2,0,2,Active
Fieldcrest Elementary School,Bradford West Gwillimbury,Simcoe County DSB,Elementary,2,0,2,Active
Fred C Cook Public School,Bradford West Gwillimbury,Simcoe County DSB,Elementary,4,0,4,Active
Holy Trinity Catholic High School,Bradford West Gwillimbury,Simcoe Muskoka CDSB,Secondary,1,0,1,Active
Hon Earl Rowe Public School,Bradford West Gwillimbury,Simcoe County DSB,Elementary,1,0,1,Active
St Angela Merici Catholic Elementary School,Bradford West Gwillimbury,Simcoe Muskoka CDSB,Elementary,4,0,4,Active
St Jean de Brebeuf Separate School,Bradford West Gwillimbury,Simcoe Muskoka CDSB,Elementary,2,0,2,Active
St Marie of the Incarnation Catholic School,Bradford West Gwillimbury,Simcoe Muskoka CDSB,Elementary,2,0,2,Active
W H Day Elementary School,Bradford West Gwillimbury,Simcoe County DSB,Elementary,2,0,2,Active
AYSP/Brampton Centennial S.S.,Brampton,Peel DSB,Secondary,0,0,1,Active
Aloma Crescent Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Arnott Charlton Public School,Brampton,Peel DSB,Elementary,0,0,3,Active
Balmoral Drive Senior Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Beatty-Fleming Senior Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Birchbank Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Bishop Francis Allen Catholic School,Brampton,Dufferin-Peel CDSB,Elementary,0,2,2,Active
Brisdale Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Burnt Elm Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Calderstone Middle School,Brampton,Peel DSB,Elementary,0,0,1,Active
Cardinal Ambrozic Catholic Secondary School,Brampton,Dufferin-Peel CDSB,Secondary,1,2,3,Active
Cardinal Leger Secondary School,Brampton,Dufferin-Peel CDSB,Secondary,2,1,3,Active
Castle Oaks Public School,Brampton,Peel DSB,Elementary,0,0,5,Active
Castlebrooke Secondary School,Brampton,Peel DSB,Secondary,0,0,4,Active
Castlemore Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Centennial Senior Public School,Brampton,Peel DSB,Elementary,0,0,6,Active
Central Peel Secondary School,Brampton,Peel DSB,Secondary,0,0,1,Active
Churchville Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Claireville Public School,Brampton,Peel DSB,Elementary,0,0,3,Active
Clark Boulevard Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Copeland Public School,Brampton,Peel DSB,Elementary,0,0,4,Active
Dolson Public School,Brampton,Peel DSB,Elementary,0,0,5,Active
Dorset Drive Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Earnscliffe Senior Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Edenbrook Hill Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Eldorado Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Esker Lake Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Fairlawn Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Father C W Sullivan Catholic School,Brampton,Dufferin-Peel CDSB,Elementary,3,0,3,Active
Father Clair Tipping School,Brampton,Dufferin-Peel CDSB,Elementary,0,0,0,Active
Father Francis McSpiritt Catholic Elementary School,Brampton,Dufferin-Peel CDSB,Elementary,0,1,1,Active
Fernforest Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Fletcher's Creek Senior Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Folkstone Public School,Brampton,Peel DSB,Elementary,0,0,5,Active
Goldcrest Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Gordon Graydon Senior Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Greenbriar Senior Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Harold F Loughin Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Harold M. Brathwaite Secondary School,Brampton,Peel DSB,Secondary,0,0,2,Active
Heart Lake Secondary School,Brampton,Peel DSB,Secondary,0,0,1,Active
Helen Wilson Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Hickory Wood Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Holy Name of Mary Catholic Secondary School,Brampton,Dufferin-Peel CDSB,Secondary,0,1,1,Active
Homestead Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Huttonville Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Ingleborough Public School,Brampton,Peel DSB,Elementary,0,0,5,Active
James Grieve Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Jean Augustine Secondary School,Brampton,Peel DSB,Secondary,0,0,1,Active
Judith Nyman Secondary School,Brampton,Peel DSB,Secondary,0,0,6,Active
Kingswood Drive Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Larkspur Public School,Brampton,Peel DSB,Elementary,0,0,3,Active
Lester B. Pearson Catholic School,Brampton,Dufferin-Peel CDSB,Elementary,1,0,1,Active
Lorenville P.S. (Elementary),Brampton,Peel DSB,Elementary,0,0,0,Active
Lougheed Middle School,Brampton,Peel DSB,Elementary,0,0,2,Active
Louise Arbour Secondary School,Brampton,Peel DSB,Secondary,0,0,3,Active
Massey Street Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Mount Pleasant Village Public School,Brampton,Peel DSB,Elementary,0,0,3,Active
Mount Royal Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Mountain Ash Public School,Brampton,Peel DSB,Elementary,0,0,8,Active
Nelson Mandela P.S. (Elementary),Brampton,Peel DSB,Elementary,0,0,1,Active
North Park Secondary School,Brampton,Peel DSB,Secondary,0,0,4,Active
Northwood Public School,Brampton,Peel DSB,Elementary,0,0,4,Active
Notre Dame Secondary School,Brampton,Dufferin-Peel CDSB,Secondary,0,1,1,Active
Our Lady of Peace School,Brampton,Dufferin-Peel CDSB,Elementary,2,0,2,Active
Parkholme Secondary School,Brampton,Peel DSB,Secondary,0,0,1,Active
Parkway Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Pauline Vanier Catholic Elementary School,Brampton,Dufferin-Peel CDSB,Elementary,1,1,2,Active
Queen Street Public School,Brampton,Peel DSB,Elementary,0,0,3,Active
Ridgeview Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Robert F Hall Catholic Secondary School,Brampton,Dufferin-Peel CDSB,Secondary,1,0,1,Active
Robert H Lagerquist Senior Public School,Brampton,Peel DSB,Elementary,0,0,3,Active
Robert J. Lee Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Roberta Bondar Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Ross Drive Public School,Brampton,Peel DSB,Elementary,0,0,3,Active
Rowntree Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Royal Orchard Middle School,Brampton,Peel DSB,Elementary,0,0,1,Active
Sandalwood Heights Secondary School,Brampton,Peel DSB,Secondary,0,0,1,Active
Shaw Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Sir Isaac Brock P.S. (Elementary),Brampton,Peel DSB,Elementary,0,0,1,Active
Sir John A. Macdonald Senior Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Sir Wilfrid Laurier Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Sir William Gage Middle School,Brampton,Peel DSB,Elementary,0,0,2,Active
Springdale Public School,Brampton,Peel DSB,Elementary,0,0,3,Active
St Agnes Separate School,Brampton,Dufferin-Peel CDSB,Elementary,1,0,1,Active
St Augustine Secondary School,Brampton,Dufferin-Peel CDSB,Secondary,1,0,1,Active
St Francis Xavier Elementary School,Brampton,Dufferin-Peel CDSB,Elementary,3,0,3,Active
St Isaac Jogues Elementary School,Brampton,Dufferin-Peel CDSB,Elementary,4,0,4,Active
St Mary Elementary School,Brampton,Dufferin-Peel CDSB,Elementary,0,1,1,Active
St Rita Elementary School,Brampton,Dufferin-Peel CDSB,Elementary,0,2,2,Active
St Thomas Aquinas Secondary School,Brampton,Dufferin-Peel CDSB,Secondary,0,1,1,Active
"St, Andre Bessette Catholic Elementary School",Brampton,Dufferin-Peel CDSB,Elementary,1,0,1,Active
St. Daniel Comboni Catholic Elementary School,Brampton,Dufferin-Peel CDSB,Elementary,0,1,1,Active
St. Jean-Marie Vianney Catholic Elementary School,Brampton,Dufferin-Peel CDSB,Elementary,0,0,0,Active
St. John Henry Newman Catholic Elementary School,Brampton,Dufferin-Peel CDSB,Elementary,1,0,1,Active
St. Josephine Bakhita Catholic Elementary School,Brampton,Dufferin-Peel CDSB,Elementary,1,0,1,Active
Stanley Mills Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Terry Fox Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Thorndale Public School,Brampton,Peel DSB,Elementary,0,0,1,Active
Treeline Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Tribune Drive Public School,Brampton,Peel DSB,Elementary,0,0,2,Active
Turner Fenton Secondary School,Brampton,Peel DSB,Secondary,0,0,3,Active
William G. Davis Senior Public School,Brampton,Peel DSB,Elementary,0,0,12,Active
William Parkway Public School,Brampton,Peel DSB,Elementary,0,0,3,Active
Worthington Public School,Brampton,Peel DSB,Elementary,0,0,4,Active
Ã‰cole secondaire Jeunes sans frontiÃ¨res,Brampton,CS Viamonde,Secondary,2,2,4,Active
Ã‰cole Ã©lÃ©mentaire Jeunes sans frontiÃ¨res,Brampton,CS Viamonde,Elementary,1,0,1,Active
Mount Pleasant School,Brant,Grand Erie DSB,Elementary,3,0,3,Active
Agnes Hodge Public School,Brantford,Grand Erie DSB,Elementary,2,0,2,Active
Assumption College,Brantford,Brant Haldimand Norfolk CDSB,Secondary,1,1,2,Active
Brantford Collegiate Institute and Vocational School,Brantford,Grand Erie DSB,Secondary,1,0,1,Active
Jean Vanier Catholic Elementary School,Brantford,Brant Haldimand Norfolk CDSB,Elementary,0,1,1,Active
North Park Collegiate and Vocational School,Brantford,Grand Erie DSB,Secondary,1,0,1,Active
Pauline Johnson Collegiate and Vocational School,Brantford,Grand Erie DSB,Secondary,4,0,4,Active
Prince Charles Public School,Brantford,Grand Erie DSB,Elementary,1,0,1,Active
St John's College,Brantford,Brant Haldimand Norfolk CDSB,Secondary,3,0,3,Active
St Patrick School,Brantford,Brant Haldimand Norfolk CDSB,Elementary,1,0,1,Active
Woodman-Cainsville,Brantford,Grand Erie DSB,Elementary,3,1,4,Active
Walkerton District Community School,Brockton,Bluewater DSB,Elementary,0,1,1,Active
Walkerton District Community School,Brockton,Bluewater DSB,Secondary,0,1,1,Active
Board Site,Brockville,Upper Canada DSB,Board Site,0,1,1,Active
St Francis Xavier Separate School,Brockville,CDSB of Eastern Ontario,Elementary,1,0,1,Active
Thousand Islands Secondary School,Brockville,Upper Canada DSB,Secondary,1,1,2,Active
Brooke Central School,Brooke-Alvinston,Lambton Kent DSB,Elementary,5,0,5,Active
Aldershot High School,Burlington,Halton DSB,Secondary,1,0,1,Active
Alexander's Public School,Burlington,Halton DSB,Elementary,0,1,1,Active
Alton Village Public School,Burlington,Halton DSB,Elementary,0,1,1,Active
Burlington Central High School,Burlington,Halton DSB,Secondary,0,1,1,Active
Corpus Christi Catholic Secondary School,Burlington,Halton CDSB,Secondary,1,0,1,Active
Dr Frank J Hayden Secondary School,Burlington,Halton DSB,Secondary,0,1,1,Active
Gary Allan High School - STEP,Burlington,Halton DSB,Secondary,1,0,1,Active
John T Tuck Public School,Burlington,Halton DSB,Elementary,0,1,1,Active
John William Boich Public School,Burlington,Halton DSB,Elementary,1,0,1,Active
Maplehurst Public School,Burlington,Halton DSB,Elementary,1,0,1,Active
Orchard Park Public School,Burlington,Halton DSB,Elementary,1,0,1,Active
St Raphael Catholic Elementary School,Burlington,Halton CDSB,Elementary,1,0,1,Active
Allan Drive Middle School,Caledon,Peel DSB,Elementary,0,0,2,Active
Belfountain Public School,Caledon,Peel DSB,Elementary,0,0,1,Active
Ellwood Memorial Public School,Caledon,Peel DSB,Elementary,0,0,2,Active
Humberview Secondary School,Caledon,Peel DSB,Secondary,0,0,4,Active
James Bolton Public School,Caledon,Peel DSB,Elementary,0,0,1,Active
Mayfield Secondary School,Caledon,Peel DSB,Secondary,0,0,3,Active
Palgrave Public School,Caledon,Peel DSB,Elementary,0,0,3,Active
SouthFields Village Public School,Caledon,Peel DSB,Elementary,0,0,1,Active
St Cornelius Elementary School,Caledon,Dufferin-Peel CDSB,Elementary,0,1,1,Active
St. John Paul II Catholic Elementary School,Caledon,Dufferin-Peel CDSB,Elementary,1,0,1,Active
St. Michael Catholic Secondary School,Caledon,Dufferin-Peel CDSB,Secondary,2,0,2,Active
Ã‰Ã‰C Saint-Jean-Bosco,Caledon,CS catholique MonAvenir,Elementary,3,0,3,Active
Blair Road Public School,Cambridge,Waterloo Region DSB,Elementary,2,0,2,Active
Holy Spirit Catholic Elementary School,Cambridge,Waterloo CDSB,Elementary,1,0,1,Active
Jacob Hespeler Secondary School,Cambridge,Waterloo Region DSB,Secondary,2,0,2,Active
Manchester Public School,Cambridge,Waterloo Region DSB,Elementary,1,0,1,Active
Preston Public School,Cambridge,Waterloo Region DSB,Elementary,1,0,1,Active
Ryerson Public School,Cambridge,Waterloo Region DSB,Elementary,1,0,1,Active
St Andrew's Public School,Cambridge,Waterloo Region DSB,Elementary,1,0,1,Active
St Augustine Catholic Elementary School,Cambridge,Waterloo CDSB,Elementary,1,0,1,Active
St Benedict Catholic Secondary School,Cambridge,Waterloo CDSB,Secondary,1,0,1,Active
St Michael Catholic Elementary School,Cambridge,Waterloo CDSB,Elementary,1,0,1,Active
St Peter Catholic Elementary School,Cambridge,Waterloo CDSB,Elementary,2,0,2,Active
Tait Street Public School,Cambridge,Waterloo Region DSB,Elementary,2,0,2,Active
Woodland Park Public School,Cambridge,Waterloo Region DSB,Elementary,1,0,1,Active
Stonecrest Elementary School,Carleton Place,Ottawa-Carleton DSB,Elementary,1,0,1,Active
Ã‰cole secondaire catholique de Casselman,Casselman,CSDC de l'Est ontarien,Secondary,2,1,3,Active
Ã‰cole Ã©lÃ©mentaire catholique de Casselman - Pav St-Paul/Ste-EuphÃ©mie,Casselman,CSDC de l'Est ontarien,Elementary,2,0,2,Active
Ã‰cole Ã©lÃ©mentaire publique L'AcadÃ©mie de la Seigneurie,Casselman,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,4,0,4,Active
New Sarum Public School,Central Elgin,Thames Valley DSB,Elementary,2,0,2,Active
Land O Lakes Public School,Central Frontenac,Limestone DSB,Elementary,1,0,1,Active
Pleasant Corners Public School,Champlain,Upper Canada DSB,Elementary,1,0,1,Active
Vankleek Hill Collegiate Institute,Champlain,Upper Canada DSB,Secondary,1,0,1,Active
Board Site,Chatham-Kent,St Clair CDSB,Board Site,0,3,3,Active
Chatham Kent Secondary School,Chatham-Kent,Lambton Kent DSB,Secondary,1,0,1,Active
Dresden Area Central School,Chatham-Kent,Lambton Kent DSB,Elementary,2,0,2,Active
Holy Family Catholic School,Chatham-Kent,St Clair CDSB,Elementary,3,0,3,Active
LK Petrolia Virtual Learn at Home Elementary School,Chatham-Kent,Lambton Kent DSB,Elementary,0,1,1,Active
St Ursula Catholic School,Chatham-Kent,St Clair CDSB,Elementary,1,0,1,Active
Tilbury Area Public School,Chatham-Kent,Lambton Kent DSB,Elementary,1,0,1,Active
Ursuline College Chatham Catholic Secondary School,Chatham-Kent,St Clair CDSB,Secondary,2,0,2,Active
Ã‰cole Ã©lÃ©mentaire catholique Sainte-Marie,Chatham-Kent,Conseil scolaire catholique Providence,Elementary,1,0,1,Active
St Patrick Catholic Elementary School,Clarence-Rockland,CDSB of Eastern Ontario,Elementary,0,1,1,Active
Ã‰cole Ã©lÃ©mentaire catholique SacrÃ©-Coeur,Clarence-Rockland,CSDC de l'Est ontarien,Elementary,3,0,3,Active
Clarington Central Secondary School,Clarington,Kawartha Pine Ridge DSB,Secondary,1,0,1,Active
Courtice North Public School,Clarington,Kawartha Pine Ridge DSB,Elementary,1,0,1,Active
Courtice Secondary School,Clarington,Kawartha Pine Ridge DSB,Secondary,1,0,1,Active
Dr G J MacGillivray Public School,Clarington,Kawartha Pine Ridge DSB,Elementary,1,1,2,Active
Dr Ross Tilley Public School,Clarington,Kawartha Pine Ridge DSB,Elementary,3,0,3,Active
Harold Longworth PS,Clarington,Kawartha Pine Ridge DSB,Elementary,1,0,1,Active
M J Hobbs Senior Public School,Clarington,Kawartha Pine Ridge DSB,Elementary,1,0,1,Active
Newcastle Public School,Clarington,Kawartha Pine Ridge DSB,Elementary,2,0,2,Active
Ã‰cole Ã©lÃ©mentaire Viola-LÃ©ger,Clarington,CS Viamonde,Elementary,1,0,1,Active
Cobourg Collegiate Institute,Cobourg,Kawartha Pine Ridge DSB,Secondary,6,0,6,Active
St Mary Catholic Secondary School,Cobourg,Peterborough Victoria Northumberland and Clarington CDSB,Secondary,9,1,10,Active
St Marys - Collingwood Separate School,Collingwood,Simcoe Muskoka CDSB,Elementary,2,0,2,Active
Ã‰Ã‰C Notre-Dame-de-la-Huronie,Collingwood,CS catholique MonAvenir,Elementary,0,1,1,Active
Bridgewood Public School,Cornwall,Upper Canada DSB,Elementary,0,1,1,Active
Sacred Heart School,Cornwall,CDSB of Eastern Ontario,Elementary,1,0,1,Active
St Joseph Intermediate Catholic School,Cornwall,CDSB of Eastern Ontario,Elementary,1,0,1,Active
Ã‰cole intermÃ©diaire catholique La Citadelle,Cornwall,CSDC de l'Est ontarien,Elementary,1,0,1,Active
Ã‰cole Ã©lÃ©mentaire publique Rose des Vents,Cornwall,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,1,0,1,Active
Dryden High School,Dryden,Keewatin-Patricia DSB,Secondary,2,0,2,Active
Mount Albert Public School,East Gwillimbury,York Region DSB,Elementary,0,0,1,Active
Ã‰cole Ã©lÃ©mentaire catholique CurÃ©-Labrosse,East Hawkesbury,CSDC de l'Est ontarien,Elementary,2,0,2,Active
Lambton Central Centennial School,Enniskillen,Lambton Kent DSB,Elementary,1,0,1,Active
Garrison Road Public School,Fort Erie,DSB Niagara,Elementary,2,0,2,Active
Our Lady of Victory Catholic Elementary School,Fort Erie,Niagara CDSB,Elementary,1,0,1,Active
Fairwood Public School,Georgina,York Region DSB,Elementary,0,0,1,Active
Keswick High School,Georgina,York Region DSB,Secondary,0,0,1,Active
Lake Simcoe Public School,Georgina,York Region DSB,Elementary,0,0,2,Active
Our Lady of the Lake Catholic Elementary School,Georgina,York CDSB,Elementary,0,0,1,Active
Sutton District High School,Georgina,York Region DSB,Secondary,0,0,1,Active
St Marys Separate School,Goderich,Huron Perth CDSB,Elementary,1,0,1,Active
B A Parker Public School,Greenstone,Superior-Greenstone DSB,Elementary,0,1,1,Active
Blessed Trinity Catholic Secondary School,Grimsby,Niagara CDSB,Secondary,2,0,2,Active
Centennial Collegiate and Vocational Institute,Guelph,Upper Grand DSB,Secondary,2,0,2,Active
Gateway Drive Public School,Guelph,Upper Grand DSB,Elementary,2,0,2,Active
Give Yourself Credit,Guelph,Upper Grand DSB,Secondary,0,1,1,Active
Guelph Collegiate and Vocational Institute,Guelph,Upper Grand DSB,Secondary,2,0,2,Active
John Ross Collegiate and Vocational Institute,Guelph,Upper Grand DSB,Secondary,2,0,2,Active
Ken Danby Public School,Guelph,Upper Grand DSB,Elementary,1,0,1,Active
Our Lady of Lourdes Catholic High School,Guelph,Wellington CDSB,Secondary,4,0,4,Active
Paisley Road Public School,Guelph,Upper Grand DSB,Elementary,1,0,1,Active
St James Catholic School,Guelph,Wellington CDSB,Secondary,1,0,1,Active
Taylor Evans Public School,Guelph,Upper Grand DSB,Elementary,1,0,1,Active
Westminster Woods Public School,Guelph,Upper Grand DSB,Elementary,2,0,2,Active
William C Winegard Public School,Guelph,Upper Grand DSB,Elementary,1,0,1,Active
Ecole Harris Mill Public School,Guelph/Eramosa,Upper Grand DSB,Elementary,1,0,1,Active
Rockwood Centennial Public School,Guelph/Eramosa,Upper Grand DSB,Elementary,0,1,1,Active
McKinnon Park Secondary School,Haldimand County,Grand Erie DSB,Secondary,1,0,1,Active
River Heights School,Haldimand County,Grand Erie DSB,Elementary,1,0,1,Active
St Patrick's School,Haldimand County,Brant Haldimand Norfolk CDSB,Elementary,0,1,1,Active
Thompson Creek Elementary School,Haldimand County,Grand Erie DSB,Elementary,1,0,1,Active
Centennial Middle School,Halton Hills,Halton DSB,Elementary,1,0,1,Active
Ethel Gardiner Public School,Halton Hills,Halton DSB,Elementary,0,1,1,Active
Glen Williams Public School,Halton Hills,Halton DSB,Elementary,4,0,4,Active
Harrison Public School,Halton Hills,Halton DSB,Elementary,2,0,2,Active
Robert Little Public School,Halton Hills,Halton DSB,Elementary,1,0,1,Active
St Brigid Catholic Elementary School,Halton Hills,Halton CDSB,Elementary,1,0,1,Active
St Francis of Assisi Catholic Elementary School,Halton Hills,Halton CDSB,Elementary,0,1,1,Active
A M Cunningham Junior Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,4,0,4,Active
Ancaster Meadow Elementary Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,5,0,5,Active
Billy Green Elementary School,Hamilton,Hamilton-Wentworth DSB,Elementary,2,0,2,Active
Bishop Ryan Catholic Secondary School,Hamilton,Hamilton-Wentworth CDSB,Secondary,6,1,7,Active
Bishop Tonnos Catholic Secondary School,Hamilton,Hamilton-Wentworth CDSB,Secondary,1,0,1,Active
Buchanan Park School,Hamilton,Hamilton-Wentworth DSB,Elementary,1,1,2,Active
Cathedral High School,Hamilton,Hamilton-Wentworth CDSB,Secondary,3,3,6,Active
Cathy Wever Elementary Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,2,0,2,Active
Cootes Paradise Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,1,0,1,Active
Earl Kitchener Junior Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,1,0,1,Active
Eastdale Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,2,0,2,Active
Elizabeth Bagshaw School,Hamilton,Hamilton-Wentworth DSB,Elementary,0,1,1,Active
Flamborough Centre Elementary School,Hamilton,Hamilton-Wentworth DSB,Elementary,2,0,2,Active
Frank Pannabaker South Senior Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,1,0,1,Active
George L Armstrong Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,3,0,3,Active
Glen Brae Middle School,Hamilton,Hamilton-Wentworth DSB,Elementary,1,0,1,Active
Guardian Angels Catholic Elementary School,Hamilton,Hamilton-Wentworth CDSB,Elementary,1,0,1,Active
Guy B Brown Elementary Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,0,1,1,Active
Hillcrest Elementary Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,0,1,1,Active
Holy Name of Jesus Catholic Elementary School,Hamilton,Hamilton-Wentworth CDSB,Elementary,1,0,1,Active
Immaculate Heart of Mary Catholic Elementary School,Hamilton,Hamilton-Wentworth CDSB,Elementary,1,0,1,Active
Lake Avenue Elementary School,Hamilton,Hamilton-Wentworth DSB,Elementary,2,0,2,Active
Lawfield Elementary School,Hamilton,Hamilton-Wentworth DSB,Elementary,1,0,1,Active
Lincoln Alexander Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,1,0,1,Active
Lisgar Junior Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,2,0,2,Active
Mount Albion Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,1,0,1,Active
